TIME;STEP;VOLTAGE;CURRENT;TEMP
0;0;18300;0;28
1;0;18600;0;28
1;1;18600;0;28
1;1;22600;0;28
1;1;28900;0;28
2;1;33600;0;28
2;1;35400;0;28
2;1;35800;0;28
3;1;35500;0;28
11;2;35500;0;28
11;2;34400;0;28
11;2;33200;0;28
12;2;32600;0;28
71;3;32600;0;28
71;3;31800;0;28
71;3;31000;0;28
72;3;30600;0;28
131;0;30600;0;28
131;1;30600;0;28
131;1;29100;0;28
131;1;30900;0;28
132;1;33900;0;28
132;1;35200;0;28
132;1;35700;0;28
133;1;35400;0;28
141;2;35500;0;28
141;2;34400;0;28
142;2;33200;0;28
142;2;32600;0;28
201;3;32600;0;28
201;3;31800;0;28
202;3;31000;0;28
202;3;30700;0;28
